,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance
38,has,1.0.3,Object.prototype.hasOwnProperty.call shortcut,,{'function-bind': '^1.1.1'},"{'@ljharb/eslint-config': '^12.2.1', 'eslint': '^4.19.1', 'tape': '^4.9.0'}",69,75856164.0,276858.5168188736,314,0.7980264522396994,0.5715503324726142,0.999894531306083
39,has-symbols,1.0.2,"Determine if the JS environment has Symbol support. Supports spec, or shams.","['Symbol', 'symbols', 'typeof', 'sham', 'polyfill', 'native', 'core-js', 'ES6']",,"{'@ljharb/eslint-config': '^17.5.1', 'aud': '^1.1.4', 'auto-changelog': '^2.2.1', 'core-js': '^2.6.12', 'eslint': '^7.20.0', 'get-own-property-symbols': '^0.9.5', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.2.0'}",14,78116097.0,231183.2351407915,112,0.9659424515702112,0.5186413521319311,0.999894531306083
40,object-inspect,1.9.0,string representations of objects in node and the browser,"['inspect', 'util.inspect', 'object', 'stringify', 'pretty']",,"{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'core-js': '^2.6.12', 'eslint': '^7.14.0', 'for-each': '^0.3.3', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'string.prototype.repeat': '^1.0.0', 'tape': '^5.0.1'}",138,75102467.0,226480.91181506857,139,0.8792862294975092,0.558411460984318,0.999894531306083
41,raw-body,2.4.1,Get and validate the raw body of a readable stream.,,"{'bytes': '3.1.0', 'http-errors': '1.7.3', 'iconv-lite': '0.4.24', 'unpipe': '1.0.0'}","{'bluebird': '3.5.5', 'eslint': '6.0.1', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.18.0', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '9.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '6.1.4', 'readable-stream': '2.3.6', 'safe-buffer': '5.1.2'}",383,79039964.66666667,164147.55833333347,663,0.9391886619452264,0.627984550875866,0.999894531306083
42,unpipe,1.0.0,Unpipe a stream from all destinations,,,"{'istanbul': '0.3.15', 'mocha': '2.2.5', 'readable-stream': '1.1.13'}",31,65287832.0,149596.84554794524,156,0.9831014645372192,0.5256358450404296,0.9999405727453268
43,type-is,1.6.18,Infer the content-type of a request.,"['content', 'type', 'checking']","{'media-typer': '0.3.0', 'mime-types': '~2.1.24'}","{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",256,62762820.0,141333.32461948256,554,0.8910921101197796,0.6023987765257514,0.999894531306083
44,media-typer,1.1.0,Simple RFC 6838 media type parser and formatter,,,"{'eslint': '5.16.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.17.2', 'eslint-plugin-markdown': '1.0.0', 'eslint-plugin-node': '8.0.1', 'eslint-plugin-promise': '4.1.1', 'eslint-plugin-standard': '4.0.0', 'mocha': '6.1.4', 'nyc': '14.0.0'}",68,61819403.0,153180.81385083718,208,0.8999999999999999,0.5446280865942148,0.999894531306083
45,content-disposition,0.5.3,Create and parse Content-Disposition header,"['content-disposition', 'http', 'rfc6266', 'res']",{'safe-buffer': '5.1.2'},"{'deep-equal': '1.0.1', 'eslint': '5.10.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.14.0', 'eslint-plugin-markdown': '1.0.0-rc.1', 'eslint-plugin-node': '7.0.1', 'eslint-plugin-promise': '4.0.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '5.2.0'}",224,82985481.66666667,324029.80055175035,396,0.9085167589887488,0.606889835075462,0.16666666666666666
46,safe-buffer,5.2.1,Safer Node.js Buffer API,"['buffer', 'buffer allocate', 'node security', 'safe', 'safe-buffer', 'security', 'uninitialized']",,"{'standard': '*', 'tape': '^5.0.0'}",347,198989375.33333334,658561.7837899544,1141,0.9683341419631268,0.6737834825817377,0.999925726878756
47,cookie,0.4.1,HTTP server cookie parsing and serialization,"['cookie', 'cookies']",,"{'beautify-benchmark': '0.2.4', 'benchmark': '2.1.4', 'eslint': '6.8.0', 'eslint-plugin-markdown': '1.0.2', 'mocha': '7.1.1', 'nyc': '15.0.1'}",1067,89172183.33333333,236061.64750761027,1658,0.8178997936369847,0.7028124890309244,0.521837661899448
48,cookie-signature,1.1.0,Sign and unsign cookies,"['cookie', 'sign', 'unsign']",,"{'mocha': '*', 'should': '*'}",170,63154036.0,166890.26388888888,385,0.8284659197911706,0.5835129585632447,0.999894531306083
